file,c,L,t,threshold_05,positive_lobe,spectral_moment,inverse_interface_proxy
c1_L64_rep000.npz,0.15,64,4,0.6830909499175226,0.7882932865645503,3.2457792111604267,5.347258485639687
c1_L64_rep000.npz,0.15,64,5,0.6899086263941447,0.7928256239470692,3.2715594418010503,5.396574440052701
c1_L64_rep000.npz,0.15,64,7,0.6877228965779383,0.7991428024727569,3.2664622292594134,5.389473684210526
c1_L64_rep000.npz,0.15,64,8,0.700181492457284,0.8206177285714598,3.3169700611864528,5.490616621983914
c1_L64_rep000.npz,0.15,64,10,0.7137047323313221,0.832185086948352,3.366707664905449,5.595628415300546
c1_L64_rep000.npz,0.15,64,13,0.7282963819068615,0.8577993172107805,3.4031816352070923,5.712691771269177
c1_L64_rep000.npz,0.15,64,15,0.7452809582834161,0.8694517995660945,3.466692289560385,5.834757834757835
c1_L64_rep000.npz,0.15,64,19,0.763001650111369,0.8933734514974265,3.523835565954028,5.97956204379562
c1_L64_rep000.npz,0.15,64,24,0.7899575369538949,0.9080619923883042,3.6254654492287997,6.196671709531014
c1_L64_rep000.npz,0.15,64,29,0.7837519366559387,0.91542297616512,3.601363501284842,6.15015015015015
c1_L64_rep000.npz,0.15,64,36,0.8119949649740943,0.9433272919516256,3.7043090828216076,6.370139968895801
c1_L64_rep000.npz,0.15,64,44,0.8260928351726917,0.9655174335429715,3.7574467636672995,6.481012658227848
c1_L64_rep000.npz,0.15,64,55,0.8628592486042459,1.0097273110532652,3.868578849376876,6.770247933884297
c1_L64_rep000.npz,0.15,64,68,0.9024570514298031,1.0497070425734103,3.989088698154193,7.07426597582038
c1_L64_rep000.npz,0.15,64,84,0.9046344390872807,1.0561742500180968,4.004219668715203,7.098786828422877
c1_L64_rep000.npz,0.15,64,103,0.9173994173444953,1.089030216282189,4.036393204619335,7.198594024604569
c1_L64_rep000.npz,0.15,64,127,0.9490683094498387,1.1338290068578536,4.1450972539545035,7.447272727272727
c1_L64_rep000.npz,0.15,64,157,0.9926587058123265,1.1628418142141206,4.288375250224445,7.772296015180266
c1_L64_rep000.npz,0.15,64,194,1.0082561229691045,1.1927072991671384,4.32174939134901,7.861804222648752
c1_L64_rep000.npz,0.15,64,239,1.0848635453642665,1.294731154322074,4.4538306360752085,8.258064516129032
c1_L64_rep000.npz,0.15,64,296,1.0892114587317412,1.297649301461198,4.498921047749097,8.291497975708502
c1_L64_rep000.npz,0.15,64,365,1.134230637526536,1.3580341294043654,4.588586099321256,8.49792531120332
c1_L64_rep000.npz,0.15,64,451,1.2554262412545691,1.408386259485688,4.850897140881416,9.266968325791856
c1_L64_rep000.npz,0.15,64,556,1.3551929450757574,1.507454817869617,5.063512326283948,9.893719806763285
c1_L64_rep000.npz,0.15,64,687,1.3774823809003496,1.543412093796521,5.071036606790316,9.893719806763285
c1_L64_rep000.npz,0.15,64,848,1.432010980075566,1.6260601932053262,5.209654112127347,10.265664160401002
c1_L64_rep000.npz,0.15,64,1047,1.5290310009807144,1.7365018342447411,5.421865448321524,10.835978835978835
c1_L64_rep000.npz,0.15,64,1292,1.5485360640888066,1.7639250535560587,5.42783665265065,10.750656167979002
c1_L64_rep000.npz,0.15,64,1595,1.615731383814956,1.822332944427119,5.6438602724574976,11.314917127071823
c1_L64_rep000.npz,0.15,64,1970,1.7840094192189804,2.03359573074966,5.897180211188166,12.08259587020649
c1_L64_rep000.npz,0.15,64,2432,1.7787761487458882,2.001062801141782,5.906036799656358,12.047058823529412
c1_L64_rep000.npz,0.15,64,3002,1.8846045693861164,2.081142667609189,6.144234106954402,12.681114551083592
c1_L64_rep000.npz,0.15,64,3706,1.9447696127131646,2.230296768075183,6.2773748642978715,12.921135646687697
c1_L64_rep000.npz,0.15,64,4576,2.05514877680044,2.2682666524295163,6.434983373149177,13.429508196721311
c1_L64_rep000.npz,0.15,64,5649,2.0122547638721953,2.306929256851313,6.2999516295048865,12.921135646687697
c1_L64_rep000.npz,0.15,64,6974,2.375675637477501,2.642578025949323,7.12286020476699,15.226765799256505
c1_L64_rep000.npz,0.15,64,8610,2.657861764090402,2.9052871910571456,7.623230669846838,16.650406504065042
c1_L64_rep000.npz,0.15,64,10629,2.6036692158157275,2.94274491577909,7.363937660823197,15.693486590038313
c1_L64_rep000.npz,0.15,64,13122,2.654348433645148,2.994197155241967,7.604113559985719,16.582995951417004
c1_L64_rep000.npz,0.15,64,16200,2.7614243280319943,3.1466727971972706,7.727651704778305,16.78688524590164
c1_L64_rep000.npz,0.15,64,20000,2.9373035971115877,3.3412707197743376,7.91925093933091,17.066666666666666
c1_L64_rep001.npz,0.15,64,1,0.5958571280510451,0.668911107630998,2.9516820899804452,4.675799086757991
c1_L64_rep001.npz,0.15,64,2,0.6328358744333763,0.7154941813324538,3.0936456950493083,4.964848484848485
c1_L64_rep001.npz,0.15,64,3,0.6566613281571037,0.7415088534414694,3.1709328660711784,5.1457286432160805
c1_L64_rep001.npz,0.15,64,4,0.6607257502846171,0.7482649323931773,3.187447511120796,5.184810126582279
c1_L64_rep001.npz,0.15,64,5,0.6761139390382125,0.7635796322705336,3.2435564781717927,5.305699481865285
c1_L64_rep001.npz,0.15,64,7,0.6858881238317405,0.7967560763572097,3.2698316574715354,5.382391590013141
c1_L64_rep001.npz,0.15,64,8,0.690466719980315,0.7879692178779399,3.2969849936058355,5.417989417989418
c1_L64_rep001.npz,0.15,64,10,0.6987428331140637,0.809550396344416,3.31510554542003,5.483266398929049
c1_L64_rep001.npz,0.15,64,13,0.7310879867180143,0.8360374007215718,3.4260917344709143,5.7366946778711485
c1_L64_rep001.npz,0.15,64,15,0.7425126117783305,0.8615987680390688,3.4663535068321822,5.826458036984353
c1_L64_rep001.npz,0.15,64,19,0.7607744941360504,0.8773512722495183,3.5331825665418526,5.962154294032024
c1_L64_rep001.npz,0.15,64,24,0.7703243207193586,0.9023336677000832,3.5557167303108432,6.03240058910162
c1_L64_rep001.npz,0.15,64,29,0.8068751658959714,0.9361871439343026,3.670527634813958,6.311248073959939
c1_L64_rep001.npz,0.15,64,36,0.8084835149993406,0.9535886863433791,3.6863488345709596,6.340557275541796
c1_L64_rep001.npz,0.15,64,44,0.8354733299246084,0.982684548699901,3.7750571734953744,6.543130990415335
c1_L64_rep001.npz,0.15,64,55,0.8747195617552423,1.022945295651358,3.9032317648656503,6.860971524288107
c1_L64_rep001.npz,0.15,64,68,0.903217943302422,1.062537064966034,3.994208468402346,7.086505190311419
c1_L64_rep001.npz,0.15,64,84,0.9111496722514303,1.085321888118799,4.009340520753045,7.148342059336824
c1_L64_rep001.npz,0.15,64,103,0.9407157740378527,1.0960392193089823,4.100600849402002,7.38018018018018
c1_L64_rep001.npz,0.15,64,127,0.9239647653009233,1.100090952803214,4.052192566785347,7.249557522123894
c1_L64_rep001.npz,0.15,64,157,0.9831462983406613,1.1581449984842713,4.240037924854103,7.7137476459510355
c1_L64_rep001.npz,0.15,64,194,0.9493319395357969,1.1576424578701108,4.1506421850689055,7.447272727272727
c1_L64_rep001.npz,0.15,64,239,1.0489397218241492,1.2328242514356444,4.386784130873758,8.09486166007905
c1_L64_rep001.npz,0.15,64,296,1.1354520497679268,1.2896205778001766,4.554821301671637,8.569037656903765
c1_L64_rep001.npz,0.15,64,365,1.1184934644140525,1.3144211806799404,4.509276910841413,8.427983539094651
