c,L,n,estimator,t_min,t_max,points,used_t_min,used_t_max,alpha,low,high,delta_vs_threshold,delta_low,delta_high,unresolved_values
0.5,64,8,inverse_interface_proxy,1000,20000,13,1069,10937,0.1835097143540621,0.16797024104305194,0.19551769719291193,-0.045617654643062694,-0.04888586369230367,-0.04232171172540912,0
0.5,64,8,inverse_interface_proxy,1000,200000,17,1069,200000,0.2030997739582192,0.19531298017273963,0.21127183384065307,-0.06008632173974937,-0.06528681777797479,-0.0551201801981789,0
0.5,96,8,threshold_05,100,20000,28,105,19557,0.20773314620590513,0.20009247398576627,0.21382541710580097,0.0,0.0,0.0,0
0.5,96,8,threshold_05,100,200000,39,105,164773,0.22917024663188584,0.2250356202822475,0.2322907329923921,0.0,0.0,0.0,0
0.5,96,8,threshold_05,1000,20000,16,1069,19557,0.24239684653166893,0.23078490554092704,0.2549135456799071,0.0,0.0,0.0,0
0.5,96,8,threshold_05,1000,200000,27,1069,164773,0.2560533421722803,0.2516312207128281,0.26126879882466175,0.0,0.0,0.0,0
0.5,96,8,positive_lobe,100,20000,28,105,19557,0.2031333102845921,0.19531702722680955,0.20997615333648995,-0.0045998359213130224,-0.005762601456675623,-0.003239932485938291,1
0.5,96,8,positive_lobe,100,200000,39,105,164773,0.22394520751066738,0.21937849357087114,0.2272318852885251,-0.005225039121218467,-0.006087946425269812,-0.004347816044572657,1
0.5,96,8,positive_lobe,1000,20000,16,1069,19557,0.23474507145305623,0.2222238637391873,0.24941700074622417,-0.007651775078612699,-0.009905741845481444,-0.005141545223845048,1
0.5,96,8,positive_lobe,1000,200000,27,1069,164773,0.24961703937030144,0.24458002984410113,0.25512830554115684,-0.006436302801978877,-0.008659224470287191,-0.00420743162154923,1
0.5,96,8,spectral_moment,100,20000,28,105,19557,0.13293367458680375,0.12795387501438082,0.13678152119028927,-0.07479947161910139,-0.07743090956626855,-0.07198046988372533,0
0.5,96,8,spectral_moment,100,200000,39,105,164773,0.14664587994995468,0.14335106700586006,0.1493614604470126,-0.08252436668193117,-0.08402715383992285,-0.08109704047144882,0
0.5,96,8,spectral_moment,1000,20000,16,1069,19557,0.1540568740828106,0.1468102831308848,0.1612810727817733,-0.08833997244885833,-0.09398936746197076,-0.08388626826077084,0
