c,L,t,n,length,standard_error
0.15,64,194,4,1.0323054804194336,0.03641220946358356
0.15,64,239,4,1.0737088118021414,0.023782615014199857
0.15,64,296,4,1.121397338696223,0.0121320547106211
0.15,64,365,4,1.1436900463295627,0.011050096460669998
0.15,64,451,4,1.267606704430798,0.02683073086494971
0.15,64,556,4,1.3035200266275746,0.031159257864116018
0.15,64,687,4,1.380067009585342,0.031521051759644717
0.15,64,848,4,1.4301979983452755,0.019696319297800354
0.15,64,1047,4,1.508067051276658,0.036776992714359226
0.15,64,1292,4,1.5939624277471158,0.03168139656813662
0.15,64,1595,4,1.6220140621358405,0.04657163453475334
0.15,64,1970,4,1.7168277643471654,0.04520386221087003
0.15,64,2432,4,1.7838307324056437,0.04539512522131567
0.15,64,3002,4,1.848020502020661,0.030254952227154425
0.15,64,3706,4,1.907114856016944,0.06606113049089883
0.15,64,4576,4,2.0364280684819054,0.045125862574717755
0.15,64,5649,4,2.106989039363481,0.0720773561804927
0.15,64,6974,4,2.2674899156544654,0.07798504372081397
0.15,64,8610,4,2.4074380248067637,0.09596911814146371
0.15,64,10629,4,2.4563476424831396,0.05092489274500143
0.15,64,13122,4,2.563034145252799,0.06482572468518637
0.15,64,16200,4,2.602981717062806,0.07240980341787202
0.15,64,20000,4,2.773749711117625,0.07576928728258232
0.15,96,1,4,0.603420340037041,0.0015040460200835138
0.15,96,2,4,0.6316898687538198,0.002875625578954897
0.15,96,3,4,0.6510813844828465,0.002738458762190325
0.15,96,4,4,0.6622351512261875,0.0033736991417231965
0.15,96,5,4,0.6730116201342295,0.002902259148882573
0.15,96,7,4,0.6850505975891652,0.001659988950027595
0.15,96,8,4,0.6935994939808265,0.0019532739103693573
0.15,96,10,4,0.7034067815646823,0.002580102590948211
0.15,96,13,4,0.7196648409104676,0.0017575877917054093
0.15,96,15,4,0.7287543751989745,0.0015407824748883542
0.15,96,19,4,0.7428687828403259,0.004237407286296647
0.15,96,24,4,0.7608301065690082,0.0025034760636584385
0.15,96,29,4,0.7783874120998777,0.00494506193915769
0.15,96,36,4,0.8002413223365552,0.00461506947705797
0.15,96,44,4,0.8237833524741044,0.00251934912294066
0.15,96,55,4,0.8455155347923285,0.006623800240475849
0.15,96,68,4,0.8720503111131301,0.005215534627065218
0.15,96,84,4,0.8973923362090022,0.012223431011964027
0.15,96,103,4,0.9340013486193348,0.01425335035189396
0.15,96,127,4,0.9555458734823,0.005944006411701276
0.15,96,157,4,0.9935542862972081,0.005684696852604555
0.15,96,194,4,1.016861935219493,0.009762596729681394
0.15,96,239,4,1.0542419604670286,0.01894884809879844
0.15,96,296,4,1.1352379436696884,0.029555942728502774
0.15,96,365,4,1.182323823834221,0.015339038672283522
0.15,96,451,4,1.2510872267260438,0.016579688135816627
0.15,96,556,4,1.257580995880303,0.02408147871583328
0.15,96,687,4,1.3262987296415285,0.027240342224523307
0.15,96,848,4,1.3760964845375918,0.01295582236857111
0.15,96,1047,4,1.4349793052917297,0.014007342865047494
0.15,96,1292,4,1.533520642512236,0.015559394614549043
0.15,96,1595,4,1.6038400803512711,0.009784813140267403
0.15,96,1970,4,1.6232025958057847,0.017666685784166688
0.15,96,2432,4,1.6975460536893408,0.038899006283264904
0.15,96,3002,4,1.8165488138167978,0.04728045594882386
0.15,96,3706,4,1.8790333734841012,0.04970207712795774
0.15,96,4576,4,1.9551099451203757,0.05887084213484986
0.15,96,5649,4,2.1331641821883025,0.028632126374757955
0.15,96,6974,4,2.2547506684799083,0.053662715299956115
0.15,96,8610,4,2.313335079592369,0.018848375637899772
0.15,96,10629,4,2.4537710041434786,0.04673914998578135
0.15,96,13122,4,2.56027676398103,0.06006160206570995
0.15,96,16200,4,2.6426684663302584,0.07380511244255708
0.15,96,20000,4,2.8254558515236923,0.08680524085378427
