file,seed,c,L,t,condition,crop_id,pixel_size_sites,width_sites,phase_fraction,length,length_x,length_y,resolved
c1_L128_rep001.npz,2864519957,0.15,128,75913,crop96,32:0,1,96,0.15614149305555555,4.85726022936796,5.106248395700082,4.608272063035838,True
c1_L128_rep001.npz,2864519957,0.15,128,75913,crop96,32:32,1,96,0.1655815972222222,4.622876818045697,4.713188003015412,4.532565633075983,True
c1_L128_rep001.npz,2864519957,0.15,128,75913,crop64,0:0,1,64,0.164794921875,5.197668665702665,5.056241690808645,5.339095640596684,True
c1_L128_rep001.npz,2864519957,0.15,128,75913,crop64,0:64,1,64,0.144287109375,4.514493085977038,4.418553870593631,4.6104323013604445,True
c1_L128_rep001.npz,2864519957,0.15,128,75913,crop64,64:0,1,64,0.12890625,5.634326569401302,5.084578881057373,6.18407425774523,True
c1_L128_rep001.npz,2864519957,0.15,128,75913,crop64,64:64,1,64,0.162109375,4.078999413019239,4.319198717395846,3.838800108642632,True
c1_L128_rep001.npz,2864519957,0.15,128,75913,crop32,0:0,1,32,0.158203125,3.992256354092671,3.909929392884453,4.074583315300889,True
c1_L128_rep001.npz,2864519957,0.15,128,75913,crop32,0:96,1,32,0.1171875,4.322142499234823,3.7705616414536602,4.873723357015986,True
c1_L128_rep001.npz,2864519957,0.15,128,75913,crop32,96:0,1,32,0.28125,6.482920842581182,6.209023178807947,6.756818506354417,True
c1_L128_rep001.npz,2864519957,0.15,128,75913,crop32,96:96,1,32,0.19921875,5.31923595091112,5.786671733682724,4.851800168139516,True
c1_L128_rep001.npz,2864519957,0.15,128,92142,full,full,1,128,0.1500244140625,4.880644483963895,4.672458531711807,5.088830436215984,True
c1_L128_rep001.npz,2864519957,0.15,128,92142,bin2,full,2,128,0.156494140625,5.352872041843865,5.143852979867544,5.5618911038201855,True
c1_L128_rep001.npz,2864519957,0.15,128,92142,bin4,full,4,128,0.1396484375,5.3610706937006505,4.882864485158001,5.8392769022433,True
