c,L,n,condition,t_min,t_max,points,used_t_min,used_t_max,alpha,low,high,delta_vs_full,delta_low,delta_high,unresolved_fraction,matched_last_time,matched_last_length_ratio
0.15,128,8,bin4,1000,20000,16,1069,19557,0.1590661202669059,0.14689785698359803,0.16875135959183024,-0.0724247944728352,-0.0773672611138347,-0.06761362655720435,0.0,19557,1.14704292600476
0.15,128,8,bin4,1000,200000,28,1069,200000,0.21181934478519232,0.20384774079544146,0.22009916642850877,-0.04818408589813744,-0.04981924431943489,-0.04687566358402796,0.0,200000,1.1008342981216581
0.15,128,8,blur1,100,20000,28,105,19557,0.19612620420895682,0.19015688027366404,0.2026355206693741,-0.014298678223953781,-0.015490005779724389,-0.01318359491145208,0.0,19557,1.1093527244022032
0.15,128,8,blur1,1000,20000,16,1069,19557,0.22063962638731718,0.20791324523890767,0.23262775457692594,-0.01085128835242391,-0.01307645434255788,-0.008355589926090905,0.0,19557,1.1093527244022032
0.15,128,8,blur1,1000,200000,28,1069,200000,0.24808668276972604,0.2397997717219986,0.2569555532265632,-0.011916747913603726,-0.012310128524300993,-0.011466021191327648,0.0,200000,1.071284874723243
0.15,128,8,blur2,100,20000,28,105,19557,0.20890726413651448,0.19693736930303513,0.22579582155635075,-0.0015176182963961282,-0.011778998173807913,0.012559004547279873,0.10208333333333333,19557,1.1283034429340635
0.15,128,8,blur2,1000,20000,16,1069,19557,0.23002726453927175,0.21469561668666515,0.24390620839690125,-0.0014636502004693464,-0.010068080698571106,0.007117044315053068,0.10208333333333333,19557,1.1283034429340635
0.15,128,8,blur2,1000,200000,28,1069,200000,0.2530184246632419,0.24407282598857535,0.2628966966040812,-0.006985006020087836,-0.010542416722967508,-0.003299128899047543,0.10208333333333333,200000,1.0863339257611784
0.15,128,8,blur1_threshold_minus02,100,20000,28,105,19557,0.18514748330644867,0.17967484158466604,0.19118562521803972,-0.02527739912646193,-0.026482762798317516,-0.024211985211305447,0.0,19557,1.1482751169467138
0.15,128,8,blur1_threshold_minus02,1000,20000,16,1069,19557,0.2124786990510047,0.20017451238734305,0.22431012882488205,-0.0190122156887364,-0.021064110058202693,-0.017195144938554903,0.0,19557,1.1482751169467138
0.15,128,8,blur1_threshold_minus02,1000,200000,28,1069,200000,0.23944776811832452,0.23105152377802238,0.24839399084600403,-0.02055566256500524,-0.0211713562840369,-0.020051259280323135,0.0,200000,1.0927401080684391
0.15,128,8,blur1_threshold_plus02,100,20000,28,105,19557,0.2090145224196289,0.2020102493500549,0.21636173416905768,-0.0014103600132817085,-0.003318423350152941,0.0005492069230113811,0.0,19557,1.0643337830207222
