c,L,t,n,length,standard_error
0.5,128,10937,8,2.9872338432619774,0.020368435712312307
0.5,128,13275,8,3.1561887317688626,0.024224447408121134
0.5,128,16113,8,3.313401631957679,0.032407888159735436
0.5,128,19557,8,3.4882364423068872,0.03140631202557252
0.5,128,23739,8,3.7029698330728933,0.02508158670650681
0.5,128,28814,8,3.867815058395979,0.034526465664991374
0.5,128,34974,8,4.041452073292936,0.046547107013769976
0.5,128,42451,8,4.334894221663431,0.06113243225035911
0.5,128,51526,8,4.584690555198445,0.062377971611711755
0.5,128,62542,8,4.831501570960441,0.07422015860878038
0.5,128,75913,8,5.074923826360586,0.06424457810920972
0.5,128,92142,8,5.404236255450792,0.05441997259530373
0.5,128,111841,8,5.64603327325532,0.052912908028755465
0.5,128,135751,8,5.9807078131457345,0.06768795710552152
0.5,128,164773,8,6.379755949118242,0.07132942184552037
0.5,128,200000,8,6.770711903836117,0.08186867717755016
0.15,32,1,8,0.6096113258862607,0.009591896031943003
0.15,32,2,8,0.6418062341263956,0.00952032430492938
0.15,32,3,8,0.66370821901236,0.009237158516081666
0.15,32,4,8,0.6735403185669133,0.00889321534191157
0.15,32,5,8,0.6832859849797006,0.008728034616496284
0.15,32,6,8,0.6886363195769,0.009082835803421872
0.15,32,7,8,0.6966864322856576,0.00876759943353256
0.15,32,8,8,0.708207067621393,0.008416434339365455
0.15,32,10,8,0.7233667308673064,0.008575647684121194
0.15,32,12,8,0.728949541305025,0.007761801227307177
0.15,32,15,8,0.7459525858171753,0.009921444514744976
0.15,32,18,8,0.7597909464323886,0.014280081340100056
0.15,32,22,8,0.7605092869078172,0.01997271249632239
0.15,32,27,8,0.7789690749696104,0.015356958349189745
0.15,32,33,8,0.8003776444899899,0.015310132143706674
0.15,32,40,8,0.8121901849652873,0.011555647752724307
0.15,32,48,8,0.83001622168237,0.011055773750663522
0.15,32,58,8,0.8515199573292078,0.016993223644278195
0.15,32,71,8,0.8835826629998543,0.024450690657485744
0.15,32,86,8,0.9051814886646965,0.021763638680345726
0.15,32,105,8,0.9455907483983351,0.02741994211366029
0.15,32,127,8,0.9660209166112952,0.024738543628793762
0.15,32,154,8,1.0189263734586305,0.029334174556516757
0.15,32,187,8,1.0420879143754467,0.023407790135284125
0.15,32,227,8,1.098774415879011,0.02912402939072269
0.15,32,276,8,1.130770209858996,0.04833157939810625
0.15,32,334,8,1.158427400306565,0.049404719434131765
0.15,32,406,8,1.2063422070020842,0.0398157208649529
0.15,32,493,8,1.239826738863563,0.02237054061963222
0.15,32,598,8,1.3051024523102468,0.0452020080085903
0.15,32,726,8,1.3218387156144504,0.061556134187971186
0.15,32,881,8,1.4023197739448134,0.052357152384974945
0.15,32,1069,8,1.4382694814458081,0.04113459766941578
0.15,32,1298,8,1.4982467986507464,0.06442593022611118
0.15,32,1576,8,1.4834745013556407,0.051827233878699426
0.15,32,1912,8,1.6156484033469902,0.0653113801972406
0.15,32,2321,8,1.6696552742403437,0.07788923807541064
0.15,32,2818,8,1.70544303229749,0.07935727773191989
0.15,32,3420,8,1.8879990831351436,0.07681442984906026
0.15,32,4151,8,2.006578381883069,0.07309216842096747
0.15,32,5039,8,2.196520754822561,0.06220647178413273
0.15,32,6116,8,2.1665344032142126,0.060606963910223445
0.15,32,7423,8,2.366167335694856,0.08183284673618695
0.15,32,9010,8,2.4619530331825996,0.09049064505984818
0.15,32,10937,8,2.5357242289702713,0.11136980990681589
0.15,32,13275,8,2.9088283379229134,0.11824369154362599
0.15,32,16113,8,2.987174393273719,0.121256633452138
