composition,L,reference_L,sweep,n_small,n_reference,resolved_small,resolved_reference,mean_small,mean_reference,difference_sites,ratio,ratio_low,ratio_high,status
0.5,32,128,17913,16,16,True,True,3.683519707547463,3.3996042638398647,0.28391544370759814,1.0835142627415446,1.020968752804232,1.1512730272536866,resolved
0.5,32,128,21336,16,16,True,True,3.856535941190601,3.5782889574190806,0.27824698377152046,1.0777597860549004,1.0069976071117854,1.1519603816330228,resolved
0.5,32,128,25413,16,16,True,True,4.001867137150119,3.7471172474549057,0.25474988969521295,1.0679855667362004,0.9890517348636868,1.1610282119193018,resolved
0.5,32,128,30270,16,16,True,True,4.33853274037398,3.905083999528481,0.43344874084549856,1.110996009534708,1.022532733754146,1.2129321216655773,resolved
0.5,32,128,36055,16,16,True,True,4.817015999222201,4.085937329122213,0.7310786700999872,1.1789255711019546,1.0327666015145252,1.3666914119837452,resolved
0.5,32,128,42945,16,16,False,True,nan,4.2730121787493465,nan,nan,nan,nan,unresolved
0.5,32,128,51152,16,16,False,True,nan,4.470221550250897,nan,nan,nan,nan,unresolved
0.5,32,128,60927,16,16,False,True,nan,4.741943176637726,nan,nan,nan,nan,unresolved
0.5,32,128,72570,16,16,False,True,nan,4.983154102759351,nan,nan,nan,nan,unresolved
0.5,32,128,86439,16,16,False,True,nan,5.247378711964252,nan,nan,nan,nan,unresolved
0.5,32,128,102958,16,16,False,True,nan,5.534231539274539,nan,nan,nan,nan,unresolved
0.5,32,128,122633,16,16,False,True,nan,5.803508188788502,nan,nan,nan,nan,unresolved
0.5,32,128,146069,16,16,False,True,nan,6.112233488916212,nan,nan,nan,nan,unresolved
0.5,32,128,173983,16,16,False,True,nan,6.369118072470153,nan,nan,nan,nan,unresolved
0.5,32,128,207231,16,16,False,True,nan,6.7752632899179455,nan,nan,nan,nan,unresolved
0.5,32,128,246834,16,16,False,True,nan,7.2198231709446725,nan,nan,nan,nan,unresolved
0.5,32,128,294005,16,16,False,True,nan,7.585165604206663,nan,nan,nan,nan,unresolved
0.5,32,128,350190,16,16,False,True,nan,8.020750560720835,nan,nan,nan,nan,unresolved
0.5,32,128,417112,16,16,False,True,nan,8.444494655942504,nan,nan,nan,nan,unresolved
0.5,32,128,496824,16,16,False,True,nan,9.005950779230849,nan,nan,nan,nan,unresolved
0.5,32,128,591769,16,16,False,True,nan,9.464592377598821,nan,nan,nan,nan,unresolved
0.5,32,128,704857,16,16,False,True,nan,9.927464521043904,nan,nan,nan,nan,unresolved
0.5,32,128,839558,16,16,False,True,nan,10.687300963206885,nan,nan,nan,nan,unresolved
0.5,32,128,1000000,16,16,False,True,nan,11.359896670957239,nan,nan,nan,nan,unresolved
0.5,64,128,1,16,16,True,True,0.6675444482649416,0.6686719381657377,-0.0011274899007960304,0.9983138369708038,0.9913365133730873,1.0056073139650665,resolved
0.5,64,128,2,16,16,True,True,0.7070554681416906,0.7078054451360727,-0.0007499769943820622,0.9989404192924259,0.9928235814599761,1.0064195406905074,resolved
0.5,64,128,3,16,16,True,True,0.7341826712416732,0.7348719314685198,-0.0006892602268465664,0.9990620675558132,0.992937408917356,1.0048440003068984,resolved
0.5,64,128,4,16,16,True,True,0.7562149211047716,0.7584285073176493,-0.002213586212877705,0.9970813515162997,0.9899990953142092,1.0047610026974718,resolved
0.5,64,128,5,16,16,True,True,0.7744440978636201,0.7763385225079495,-0.0018944246443294288,0.9975597956440323,0.9903669737773904,1.0042953200800437,resolved
0.5,64,128,6,16,16,True,True,0.7918349291213866,0.7919444067687962,-0.00010947764740953936,0.9998617609437306,0.992507083996835,1.007943721964169,resolved
0.5,64,128,7,16,16,True,True,0.807295775256232,0.8072764158289341,1.9359427297915843e-05,1.00002398116298,0.9928023156335879,1.0079216596835563,resolved
0.5,64,128,8,16,16,True,True,0.8190020058120822,0.8198564501736161,-0.0008544443615339237,0.9989578122348699,0.9915864859485737,1.0055399030217322,resolved
0.5,64,128,10,16,16,True,True,0.8422180053275504,0.8424424503923401,-0.00022444506478969117,0.9997335781634874,0.9925563373470518,1.0068683359996053,resolved
0.5,64,128,12,16,16,True,True,0.8586037915015674,0.8590448284686794,-0.00044103696711195184,0.9994865960977867,0.9924164173915111,1.0059236205410749,resolved
0.5,64,128,14,16,16,True,True,0.8749536427294521,0.8760260603811286,-0.0010724176516765382,0.9987758153550707,0.9900029914327035,1.0070843030154444,resolved
0.5,64,128,16,16,16,True,True,0.8891103172044973,0.8909407596621481,-0.0018304424576508493,0.997945494761801,0.988528314438631,1.0066243545045432,resolved
0.5,64,128,20,16,16,True,True,0.9123803510816239,0.9190584310644376,-0.006678079982813778,0.9927337808379829,0.9837092938383539,1.0009447799520779,resolved
0.5,64,128,23,16,16,True,True,0.9296132174520384,0.9349936633619738,-0.005380445909935361,0.994245473396484,0.9847638519882321,1.0031442040346374,resolved
0.5,64,128,28,16,16,True,True,0.9506334878995273,0.9583802100243982,-0.007746722124870931,0.9919168592549781,0.9811115743718886,1.0023027356849752,resolved
0.5,64,128,33,16,16,True,True,0.9741907945612484,0.9800218137979699,-0.00583101923672158,0.9940501128090975,0.9852605490314599,1.0021297235213367,resolved
0.5,64,128,39,16,16,True,True,1.003108647137384,0.999923615873453,0.003185031263930993,1.0031852745683467,0.9923573331047848,1.0141552482760596,resolved
0.5,64,128,47,16,16,True,True,1.0311493317819846,1.0344902358003283,-0.003340904018343638,0.9967704827916921,0.9870467635854749,1.0066047227247985,resolved
0.5,64,128,56,16,16,True,True,1.0561257040016083,1.06562478647542,-0.009499082473811704,0.9910859032237509,0.9761504201912743,1.0056154192812976,resolved
