composition,L,sweep,n_replicas,resolved_all,resolved_x,resolved_y,mean_length_x,mean_length_y,mean_length,standard_error,length_over_L
0.5,64,16,16,True,16,16,0.8879739527439596,0.890246681665035,0.8891103172044973,0.0042165120485113785,0.01389234870632027
0.5,64,20,16,True,16,16,0.9103585027235865,0.9144021994396612,0.9123803510816239,0.003944411079822388,0.014255942985650373
0.5,64,23,16,True,16,16,0.9276637105060311,0.9315627243980458,0.9296132174520384,0.004255394888554415,0.0145252065226881
0.5,64,28,16,True,16,16,0.9459431728807016,0.9553238029183528,0.9506334878995273,0.0049877299302592245,0.014853648248430114
0.5,64,33,16,True,16,16,0.9714649452361972,0.9769166438862998,0.9741907945612484,0.0040763651046496225,0.015221731165019506
0.5,64,39,16,True,16,16,0.9978301048753824,1.0083871893993854,1.003108647137384,0.00549737941958691,0.015673572611521625
0.5,64,47,16,True,16,16,1.02992246958281,1.0323761939811593,1.0311493317819846,0.004692573909210968,0.01611170830909351
0.5,64,56,16,True,16,16,1.0587394273541708,1.0535119806490458,1.0561257040016083,0.007433980788465979,0.01650196412502513
0.5,64,66,16,True,16,16,1.092226534718835,1.0958718134125711,1.094049174065703,0.006863154529131054,0.01709451834477661
0.5,64,79,16,True,16,16,1.1153605704328875,1.1279334170120767,1.121646993722482,0.004660188620382275,0.01752573427691378
0.5,64,94,16,True,16,16,1.145206546696289,1.1541499473483727,1.149678247022331,0.007434402618120387,0.017963722609723922
0.5,64,112,16,True,16,16,1.1820370658146915,1.184361258388492,1.1831991621015916,0.00865249710908177,0.01848748690783737
0.5,64,134,16,True,16,16,1.2221079904001464,1.2336827335785654,1.227895361989356,0.008748433342661259,0.019185865031083688
0.5,64,159,16,True,16,16,1.2483436295707087,1.2713952068159762,1.2598694181933427,0.012443622158654348,0.01968545965927098
0.5,64,190,16,True,16,16,1.287015071386406,1.3160226144810747,1.30151884293374,0.010586690927523389,0.02033623192083969
0.5,64,226,16,True,16,16,1.3207651220276282,1.361555591804968,1.341160356916298,0.009685007514977867,0.020955630576817156
0.5,64,269,16,True,16,16,1.3582881672467508,1.4006581354082028,1.379473151327477,0.008953222467350086,0.021554267989491827
0.5,64,321,16,True,16,16,1.409414887556081,1.4377819723324095,1.4235984299442452,0.008556068985453337,0.022243725467878832
0.5,64,382,16,True,16,16,1.4422853574422672,1.4843370424740554,1.463311199958161,0.006811990616977657,0.022864237499346265
0.5,64,455,16,True,16,16,1.4948376829236487,1.5145877473383924,1.5047127151310207,0.008113366978035146,0.023511136173922198
0.5,64,542,16,True,16,16,1.5461457590170955,1.5552445854318213,1.5506951722244584,0.010874619385918622,0.024229612066007163
0.5,64,646,16,True,16,16,1.5961042162395878,1.6083639963595937,1.602234106299591,0.008541140483239295,0.02503490791093111
0.5,64,769,16,True,16,16,1.6245085873732814,1.6535050964583369,1.639006841915809,0.0105290641308832,0.025609481904934516
0.5,64,916,16,True,16,16,1.6648234142408547,1.7174827943868056,1.6911531043138304,0.01166963673610907,0.0264242672549036
0.5,64,1091,16,True,16,16,1.7197344948352298,1.7741849687624587,1.7469597317988441,0.014052000148531021,0.02729624580935694
0.5,64,1300,16,True,16,16,1.8018300555760582,1.8255555828957863,1.8136928192359223,0.015438090186985219,0.028338950300561286
0.5,64,1548,16,True,16,16,1.8474381032397815,1.8945677147038213,1.8710029089718012,0.022819997877386124,0.029234420452684394
0.5,64,1844,16,True,16,16,1.9434845395455151,1.9841724359032065,1.9638284877243606,0.01859374829267775,0.030684820120693134
0.5,64,2197,16,True,16,16,2.021329085727406,2.029845111893404,2.0255870988104046,0.026713260347261607,0.03164979841891257
0.5,64,2617,16,True,16,16,2.112066247106827,2.1092807297262945,2.1106734884165603,0.027520209922283177,0.032979273256508755
0.5,64,3117,16,True,16,16,2.204279886562672,2.1796719018453405,2.191975894204006,0.020887821060010688,0.0342496233469376
0.5,64,3712,16,True,16,16,2.271513033509341,2.266100627314818,2.2688068304120796,0.017415592884440147,0.035450106725188744
0.5,64,4421,16,True,16,16,2.392126112236278,2.3632599835296872,2.3776930478829827,0.02797956883170874,0.037151453873171605
0.5,64,5266,16,True,16,16,2.4527118478876186,2.465907710122118,2.4593097790048684,0.030338267059581262,0.03842671529695107
